                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6082,                 2.6059,                 2.2375,                 1.1834,                 0.6718,                0.40609,                0.39652,                0.21964,                0.66807,                0.38888,                0.37932,                0.18956,                 1.5644,                 2.5871,                 1.5967,                 1.2477,             0.00041512,             0.00041512,             0.00041512
                      2,                  1.555,                 2.5251,                 1.3992,                  1.181,                0.55871,                0.51157,                0.49275,                0.26745,                0.54989,                0.48549,                0.46465,                0.22665,                  1.527,                 2.5675,                 1.4538,                 1.2386,             0.00082356,             0.00082356,             0.00082356
                      3,                  1.539,                 2.5086,                 1.3633,                 1.1786,                0.54485,                0.50543,                0.48914,                0.26671,                0.52576,                0.48326,                0.46198,                0.22561,                 1.5198,                 2.5816,                 1.4394,                 1.2353,              0.0012237,              0.0012237,              0.0012237
                      4,                 1.5304,                 2.5033,                  1.335,                 1.1736,                0.54923,                 0.5127,                0.49487,                0.26768,                0.53237,                0.48611,                0.46513,                0.22478,                 1.5264,                 2.5607,                 1.4397,                  1.245,              0.0012129,              0.0012129,              0.0012129
                      5,                  1.529,                 2.4967,                 1.3307,                 1.1737,                0.54694,                0.50597,                0.49078,                0.26802,                0.53071,                0.47745,                0.45884,                0.22332,                 1.5115,                 2.5723,                 1.4188,                 1.2336,              0.0012129,              0.0012129,              0.0012129
                      6,                 1.5195,                 2.4915,                 1.3157,                 1.1729,                0.53341,                0.51001,                0.48954,                0.26205,                0.51573,                0.48149,                0.45845,                0.21992,                 1.5413,                 2.5771,                 1.4182,                 1.2416,              0.0012005,              0.0012005,              0.0012005
                      7,                 1.5211,                 2.4765,                 1.3105,                 1.1682,                0.53996,                0.50697,                0.49185,                0.26498,                0.52141,                0.47737,                 0.4584,                0.22106,                 1.5416,                 2.5594,                 1.4026,                 1.2449,              0.0011881,              0.0011881,              0.0011881
                      8,                 1.5159,                 2.4775,                 1.3099,                 1.1676,                 0.5453,                0.51579,                 0.4976,                0.27258,                0.52704,                0.48915,                0.46574,                0.22896,                 1.5043,                 2.5684,                 1.3973,                  1.233,              0.0011757,              0.0011757,              0.0011757
                      9,                 1.5154,                 2.4748,                 1.2969,                 1.1675,                0.53376,                0.51049,                0.49218,                0.26848,                0.51618,                0.48304,                0.46096,                0.22714,                 1.5095,                 2.5453,                 1.4039,                 1.2383,              0.0011634,              0.0011634,              0.0011634
                     10,                 1.5142,                 2.4739,                  1.302,                 1.1692,                0.54945,                0.51359,                0.49872,                0.27404,                0.53307,                0.48695,                0.46857,                0.23131,                 1.5148,                 2.5431,                 1.3955,                 1.2402,               0.001151,               0.001151,               0.001151
