,map_50,map_75,acc,f1,dice,aji,aji_plus,dq,sq,pq,img_names
10,0.11881188303232193,0.013201320543885231,0.6666666666666666,0.6666666666666666,0.7501967136889518,0.529500163345312,0.47114093959731546,0.6,0.7655591479213296,0.4593354887527977,10
11,0.35868585109710693,0.3198019862174988,0.75,0.8888888888888888,0.8982961991743863,0.7167956494457226,0.7167956494457226,0.8148148148148148,0.8339409383553155,0.6795074312524793,11
12,0.6963696479797363,0.2621012032032013,1.0,0.7368421052631579,0.8429544325010098,0.6783647739568143,0.7135535006605019,0.75,0.8334426754351532,0.6250820065763649,12
13,0.5358911156654358,0.2854785621166229,1.0,0.7619047619047619,0.74614869384936,0.5432968462122033,0.5505454545454546,0.6086956521739131,0.7647619395525265,0.4655072675537118,13
14,0.2818639278411865,0.066006600856781,0.7142857142857143,0.5,0.5823441483960985,0.4825497766674237,0.43749452474813844,0.4827586206896552,0.689601938782289,0.3329112807914499,14
15,0.1637471318244934,0.0891089141368866,0.7,0.6666666666666666,0.7031496522905641,0.5421979903573199,0.56235658558972,0.5806451612903226,0.7859651006765366,0.45636683265089223,15
16,0.23065638542175293,0.19071191549301147,0.75,0.64,0.6338619402738704,0.43940292073072157,0.46426175747186404,0.5384615384615384,0.8036166664556692,0.43271666655305263,16
17,0.8811880946159363,0.7121641039848328,1.0,0.9375,0.9225392679856163,0.8463815094073709,0.8463815094073709,0.8823529411764706,0.8454818085511765,0.7460133604863322,17
18,0.6856436133384705,0.448019802570343,1.0,0.6666666666666666,0.7232584089970302,0.6122901928145373,0.6122901928145373,0.7272727272727273,0.7662543830001194,0.5572759149091777,18
19,0.20792078971862793,0.07854785770177841,0.7142857142857143,0.7,0.8816154150137511,0.5960028551034975,0.5960028551034975,0.6666666666666666,0.7545921880700506,0.503061458713367,19
20,0.48019805550575256,0.28052806854248047,1.0,0.6,0.7713456421522477,0.5140508301542098,0.5034021256255975,0.6,0.8074411398957603,0.4844646839374561,20
21,0.5982397794723511,0.2635863721370697,0.7857142857142857,0.8484848484848485,0.8365116776476846,0.6121041078708059,0.6121041078708059,0.7428571428571429,0.7784765071892749,0.5782968339120328,21
22,0.5400440096855164,0.5202420353889465,0.7272727272727273,0.5789473684210527,0.7458361010469201,0.6792147702259557,0.6907828585108929,0.631578947368421,0.8425780283177746,0.5321545442006997,22
23,0.28217822313308716,0.05445544421672821,0.8333333333333334,0.6666666666666666,0.4793570946273629,0.33163265306122447,0.33163265306122447,0.4,0.7678667769610868,0.3071467107844348,23
24,0.38493844866752625,0.38493844866752625,1.0,0.45454545454545453,0.5209435310829992,0.613702341784401,0.5985234480607258,0.45454545454545453,0.8870601678177061,0.40320916718986644,24
25,0.36193618178367615,0.36193618178367615,0.6666666666666666,0.46153846153846156,0.9346801345542518,0.7131113851212495,0.7131113851212495,0.7142857142857143,0.8664674484169607,0.6189053202978291,25
26,0.6237623691558838,0.4297029972076416,0.8333333333333334,0.8571428571428571,0.9073972601496716,0.7013977128335451,0.7013977128335451,0.8,0.8167664893631615,0.6534131914905292,26
27,0.36858683824539185,0.29162919521331787,0.9090909090909091,1.0,0.8723745389712703,0.773638561069245,0.773638561069245,0.8333333333333334,0.8271649392910954,0.6893041160759128,27
28,0.2603960633277893,0.09207920730113983,0.8333333333333334,0.6,0.4446546830542087,0.2831774219121611,0.35977509822517273,0.47619047619047616,0.8224291093285085,0.3916329092040517,28
29,0.5016501545906067,0.4587458670139313,0.8,0.47619047619047616,0.7842624853681384,0.6390139843564826,0.6390139843564826,0.5714285714285714,0.8102096551299043,0.4629769457885167,29
30,0.7326732873916626,0.2524752616882324,1.0,0.8571428571428571,0.7412472001955385,0.5764576457645765,0.6288976723759332,0.75,0.7389269678760575,0.5541952259070431,30
31,0.5871286988258362,0.24966996908187866,0.8888888888888888,0.72,0.6834630109495206,0.5046047232606912,0.6353408338848445,0.7407407407407407,0.8006583298848909,0.5930802443591784,31
32,0.2876591384410858,0.03748231753706932,0.625,0.6956521739130435,0.6272327964401733,0.4605876612815787,0.5154607768469155,0.64,0.7437963761955033,0.47602968076512214,32
33,0.7854785323143005,0.4838283658027649,1.0,0.6666666666666666,0.7149746192439737,0.5285178236397748,0.5613887554060548,0.75,0.758468185468356,0.5688511391012671,33
34,0.3506600260734558,0.17271725833415985,1.0,0.6666666666666666,0.6632303822249297,0.5065772830761447,0.5491776315789474,0.5185185185185185,0.7818348606773285,0.40539585368454073,34
35,0.10099009424448013,0.02574257366359234,0.8,0.5882352941176471,0.5662059740576302,0.42618741976893454,0.42618741976893454,0.3333333333333333,0.7757589161896732,0.2585863053965577,35
36,0.34977152943611145,0.1522277295589447,0.8888888888888888,0.75,0.6379686204477273,0.49339816006482673,0.5227042110603755,0.52,0.8003039608526659,0.41615805964338626,36
37,0.5366336703300476,0.3140028119087219,0.7058823529411765,0.7083333333333334,0.806496936952369,0.6707602887409768,0.6763567814267288,0.7755102040816326,0.7577638724120992,0.5876536153399953,37
38,0.11704384535551071,0.11704384535551071,0.4666666666666667,0.7142857142857143,0.7541813960452602,0.5544021230096784,0.5475116971501489,0.6046511627906976,0.7802568901618767,0.4717832359118324,38
39,0.33399340510368347,0.11881188303232193,0.8823529411764706,0.8292682926829268,0.6547870096660277,0.48504256814809027,0.5040166927490871,0.6190476190476191,0.7171706651105316,0.44396279268747196,39
40,0.24257425963878632,0.11386137455701828,0.8,0.9090909090909091,0.8969319269182808,0.7052393516773464,0.7052393516773464,0.7272727272727273,0.793881831985622,0.5773686050804524,40
41,0.5049505233764648,0.5049505233764648,1.0,0.6666666666666666,0.9108910876057903,0.8093841642228738,0.8093841642228738,0.4,0.8363628000008364,0.3345451200003346,41
42,0.46782177686691284,0.38019803166389465,1.0,0.75,0.698791431054578,0.5896512342967584,0.602347465344531,0.5294117647058824,0.8124369295429924,0.43011366858158423,42
43,0.591309130191803,0.4018637537956238,0.9375,0.8648648648648649,0.7832935860178457,0.6617139097538243,0.6617139097538243,0.8205128205128205,0.788214331333088,0.6467399641707389,43
44,0.32673269510269165,0.2326732724905014,0.5714285714285714,0.875,0.7867635189034089,0.5890030211480363,0.5873724489795918,0.7647058823529411,0.7236627397998286,0.5533891539645748,44
