,map_50,map_75,acc,f1,dice,aji,aji_plus,dq,sq,pq,img_names
1544,0.5517159104347229,0.5361508131027222,0.96875,0.6530612244897959,0.4020566324444642,0.2755394558532263,0.3466401148520354,0.2857142857142857,0.7838431303015786,0.2239551800861653,2661
1545,0.15323275327682495,0.09885519742965698,0.898876404494382,0.689922480620155,0.5135332110211664,0.3801777692822326,0.4540584221237879,0.4942084942084942,0.8211756745330705,0.4058319935916333,2662
1546,0.22535499930381775,0.14840839803218842,0.956989247311828,0.768595041322314,0.6365813033410268,0.4898168103448276,0.5545777875554577,0.6090534979423868,0.8170645235429239,0.4976360061084475,2663
1547,0.1656816452741623,0.1150517538189888,0.9540229885057471,0.6770428015564203,0.5058225980979217,0.3603197624227356,0.4485270642867508,0.4980544747081712,0.8201561895240097,0.408482460152036,2664
1548,0.05445544049143791,0.013613861054182053,0.8421052631578947,0.5277777777777778,0.3582332035756225,0.21029524308212832,0.2720063441712926,0.2972972972972973,0.6846884581424668,0.20355602809640908,2665
1549,0.18588361144065857,0.07038702815771103,0.6666666666666666,0.6774193548387096,0.5395010922994589,0.43360701543223146,0.5020927507115353,0.512,0.7281045744196766,0.3727895421028744,2666
1550,0.2132754921913147,0.1305130571126938,0.7619047619047619,0.5454545454545454,0.3505158417410252,0.22862031039960895,0.31402288780594645,0.358974358974359,0.7389028940890898,0.2652471927499297,2667
1551,0.1507936418056488,0.004400440026074648,0.8421052631578947,0.5205479452054794,0.19550133592722294,0.11600153825160338,0.17892561983471075,0.273972602739726,0.7186873345811674,0.19690063961127874,2668
1552,0.7650165557861328,0.3458746075630188,1.0,0.7878787878787878,0.7250325246250071,0.5470608615313547,0.5733866362078812,0.8,0.7415154856634739,0.5932123885307792,2669
1553,0.6955445408821106,0.6138613820075989,1.0,0.8,0.6753281186960985,0.4981132075471698,0.4981132075471698,0.56,0.8080463683937905,0.45250596630052276,2670
1554,0.5344177484512329,0.1746174693107605,1.0,0.7346938775510204,0.708157455545884,0.5900442840741348,0.6206491982792335,0.68,0.7590697581273053,0.5161674355265676,2671
1555,0.08692833036184311,0.0630834549665451,0.5,0.4752475247524752,0.35094189872893994,0.29803590472804836,0.2987586477601688,0.21782178217821782,0.7221863883634146,0.15730792617816952,2672
1556,0.08415841311216354,0.0,0.13333333333333333,0.4838709677419355,0.5465363672227278,0.3533503477956263,0.40768358885640993,0.45161290322580644,0.7452300387565584,0.3365555013739296,2673
1557,0.11005144566297531,0.060570769011974335,0.4482758620689655,0.5918367346938775,0.4701764705744066,0.2873190123636894,0.3230122520120982,0.40404040404040403,0.7232177145596107,0.2922091775998427,2674
1558,0.01602686569094658,0.011765386909246445,0.8823529411764706,0.33663366336633666,0.329171523144863,0.22158231308084467,0.2825793184488837,0.19607843137254902,0.7893379802813131,0.1547721529963359,2675
1559,0.395903080701828,0.027302728965878487,0.9259259259259259,0.5142857142857142,0.4131433954664258,0.2492300571448917,0.33788293298860594,0.39622641509433965,0.7626137439931023,0.30216770988405944,2676
1560,0.06115395203232765,0.04781149700284004,0.6,0.5660377358490566,0.5173962512415476,0.31795454545454543,0.33187478963312017,0.41509433962264153,0.7899035197669844,0.3278844799032765,2677
