,map_50,map_75,acc,f1,dice,aji,aji_plus,dq,sq,pq,img_names
444,0.6138613820075989,0.5899339914321899,1.0,0.8095238095238095,0.859299439632083,0.8031571394403253,0.8031571394403253,0.8095238095238095,0.8721072311055573,0.7059915680378321,1932
445,0.46178025007247925,0.26144862174987793,0.8142857142857143,0.8641975308641975,0.72148348222312,0.6748350288699477,0.6813827571845065,0.7560975609756098,0.8342568307168599,0.6307795549322599,2031
446,0.7933168411254883,0.6608911156654358,1.0,0.7272727272727273,0.7822256272245275,0.6872003835091084,0.6804559426229508,0.6956521739130435,0.8272595098105855,0.5754848763899725,1644
447,0.855674147605896,0.2942044138908386,0.9705882352941176,0.7472527472527473,0.6703465875113332,0.6965070620641154,0.7266792215944758,0.7741935483870968,0.8526791595894123,0.6601387041982547,1672
448,0.5643564462661743,0.4207920730113983,0.9,0.7407407407407407,0.7634192672584305,0.515918427230047,0.5812568168470509,0.7407407407407407,0.8532496931829769,0.6320368097651681,1638
449,0.6905940771102905,0.44978782534599304,1.0,0.8235294117647058,0.8259136775353249,0.6031308703819662,0.6031308703819662,0.7058823529411765,0.8070516632085395,0.5696835269707338,1910
450,0.5156916379928589,0.40526339411735535,0.8235294117647058,0.8292682926829268,0.8647803656612818,0.6172925359295317,0.6172925359295317,0.7441860465116279,0.8229518174590075,0.6124292595043777,2083
451,0.7291372418403625,0.6025460362434387,0.9166666666666666,0.7058823529411765,0.8511493529894297,0.6465648854961832,0.6803464631882863,0.7777777777777778,0.8169606509833002,0.6354138396536779,1406
452,0.0,0.0,0.0,1.0,0.896551720273484,0.8125,0.8125,0.5,0.8124991875008125,0.40624959375040626,2072
453,0.9306930899620056,0.9306930899620056,0.9333333333333333,0.967741935483871,0.7373479501149817,0.8524791575252304,0.8524791575252304,0.875,0.8864529625602146,0.7756463422401877,1631
454,0.45945674180984497,0.03685368597507477,0.9166666666666666,0.7058823529411765,0.677983025424198,0.5588321452983107,0.5588321452983107,0.5555555555555556,0.7453376887345885,0.41407649374143807,1936
455,0.7259154319763184,0.34540313482284546,1.0,0.8235294117647058,0.7398907103514127,0.671015625,0.671015625,0.7777777777777778,0.779485709020108,0.6062666625711952,1912
456,0.2315417379140854,0.14893919229507446,0.6428571428571429,0.717948717948718,0.8521440821865962,0.517931609674729,0.5269753610875106,0.65,0.8350444118612048,0.5427788677097831,2075
457,0.5209977030754089,0.4358425736427307,0.896551724137931,0.8446601941747572,0.7617057650178601,0.7301227983130737,0.7388171053049303,0.8695652173913043,0.8243157893554247,0.7167963385699345,2036
458,0.4455445408821106,0.4455445408821106,0.5714285714285714,0.7777777777777778,0.8546015349792266,0.7461172344689379,0.7461172344689379,0.7,0.8574565110763861,0.6002195577534702,1163
459,0.356617271900177,0.3272630572319031,0.6470588235294118,0.7391304347826086,0.7789882530892862,0.7291127541589649,0.7390651398535761,0.723404255319149,0.8265524042648551,0.5979315264894697,1620
460,0.26650163531303406,0.18316832184791565,0.6923076923076923,0.7647058823529411,0.7569998988801678,0.6180826896865061,0.6180826896865061,0.5555555555555556,0.8115167160039304,0.45084262000218356,1908
461,0.5741519927978516,0.5394389629364014,0.7368421052631579,0.7169811320754716,0.7350654159239982,0.6896531520974923,0.7155929497021434,0.7407407407407407,0.8446136396970285,0.62563973310891,1287
462,0.7445544004440308,0.5643564462661743,1.0,0.3,0.4316202454038337,0.3320977093432183,0.3746915566999249,0.5714285714285714,0.706788717185642,0.40387926696322396,1918
463,0.7211219668388367,0.5643563866615295,1.0,0.8333333333333334,0.6262388381291101,0.6787994891443168,0.6787994891443168,0.7142857142857143,0.8102114967664369,0.578722497690312,1929
464,0.4205315411090851,0.17425742745399475,0.8888888888888888,0.7346938775510204,0.6911817207865769,0.5426371388570701,0.5585958718087995,0.6530612244897959,0.7246423870993481,0.47323584463630897,1914
465,0.8480328321456909,0.48573359847068787,1.0,0.9130434782608695,0.8352013002121288,0.7525508645445103,0.7855000319101411,0.875,0.8390589714616813,0.7341766000289711,1009
466,0.4915408194065094,0.3881436288356781,0.8695652173913043,0.8070175438596491,0.8537212404942002,0.7535296247134066,0.7535296247134066,0.7796610169491526,0.8335541209004538,0.6498896535834047,2040
467,0.4166416525840759,0.30503049492836,0.7,0.8695652173913043,0.8754526121939349,0.8350622976014052,0.8350622976014052,0.875,0.8480303412094113,0.7420265485582349,1931
468,0.7960396409034729,0.29059404134750366,1.0,0.9032258064516129,0.7829142266351046,0.7182189434857068,0.7182189434857068,0.7272727272727273,0.7903741846454605,0.5748175888330622,2022
