,map_50,map_75,acc,f1,dice,aji,aji_plus,dq,sq,pq
269,0.5016244053840637,0.11046799272298813,0.8235294117647058,0.7338129496402878,0.5736406671596155,0.45335946412378975,0.46548101227274113,0.6993006993006993,0.7043609313253943,0.4925600918359401
270,0.3197193443775177,0.0680563747882843,0.8,0.6299212598425197,0.44269279408151696,0.4358227649913888,0.4358227649913888,0.6564885496183206,0.719605470887776,0.47241275188052473
271,0.46611306071281433,0.09239938855171204,0.8392857142857143,0.7133757961783439,0.5057102430579399,0.42487060599525556,0.43288341534486074,0.7804878048780488,0.7197091137504338,0.561724186341802
272,0.5011319518089294,0.20344170928001404,0.8,0.6870229007633588,0.6777899604220846,0.5347664623652667,0.537604372248368,0.7703703703703704,0.7431154094209936,0.5724740931835803
273,0.46115654706954956,0.2405603528022766,0.6571428571428571,0.6481481481481481,0.48422138938020454,0.3512213575443147,0.3517947588636864,0.6260869565217392,0.7443047911227848,0.4659995213986131
274,0.4695044755935669,0.15846282243728638,0.6666666666666666,0.84,0.6517156668412439,0.5046904894155403,0.5046904894155403,0.7721518987341772,0.7312335916336969,0.5646234061981711
275,0.5086463689804077,0.15282781422138214,0.7777777777777778,0.7105263157894737,0.4533779427356947,0.41703505246706857,0.4198102603300211,0.6918238993710691,0.7251044582508557,0.5016445937584536
276,0.4280776083469391,0.05363036319613457,0.6829268292682927,0.7256637168141593,0.30745149873207606,0.3270008795074758,0.33212792695750304,0.6379310344827587,0.7128889318132522,0.45477397374293677
277,0.47530755400657654,0.2347634732723236,0.7586206896551724,0.7733333333333333,0.5476747674685318,0.5076993195950126,0.5067778251879083,0.7532467532467533,0.7231516638038736,0.5447116428652555
278,0.5662569999694824,0.21002043783664703,0.78,0.7092198581560284,0.5107689320797597,0.4197571202962479,0.4280168682101265,0.7297297297297297,0.7038360864560727,0.5136101171436206
279,0.37722358107566833,0.050936803221702576,0.7755102040816326,0.784,0.6409483801297435,0.5091500932872851,0.5262402035205778,0.7301587301587301,0.7173231188026219,0.5237597375384223
280,0.6057199835777283,0.14749090373516083,0.8125,0.847682119205298,0.5307991881886512,0.46289524023855066,0.4692671733830489,0.8129032258064516,0.7075042681527511,0.5751325018532041
281,0.30794498324394226,0.14885421097278595,0.7692307692307693,0.6265060240963856,0.6081045493349116,0.46304409672830726,0.4692868910331843,0.6823529411764706,0.7345370099967038,0.5012134891742214
282,0.3822925388813019,0.14803168177604675,0.8490566037735849,0.6272189349112426,0.6593628150136117,0.5564962108281559,0.5615699273573594,0.7719298245614035,0.7260593642333505,0.5604668776538144
283,0.36692342162132263,0.15670007467269897,0.8181818181818182,0.6567164179104478,0.6582490876157086,0.46795342494492814,0.4854390110888929,0.7837837837837838,0.7553495753686584,0.5920307482619215
284,0.10848656296730042,0.026716958731412888,0.3333333333333333,0.5142857142857142,0.2344886021943573,0.15484500487878106,0.16223732192984758,0.5365853658536586,0.7444665708423849,0.3994698672812797
285,0.28299421072006226,0.1792319267988205,0.7857142857142857,0.7466666666666667,0.7847525924644357,0.5515448749386954,0.5551108374384236,0.8148148148148148,0.7773080373791743,0.633362104531179
286,0.2851201593875885,0.21148543059825897,0.8214285714285714,0.7567567567567568,0.5797304012830828,0.4963787316728493,0.5114592222357675,0.7272727272727273,0.7851115533181379,0.5709902205950094
287,0.0,0.0,0.0,0.15384615384615385,0.19605781864677674,0.0324446570695429,0.0324446570695429,0.0,0.0,0.0
288,0.23267324268817902,0.1903190314769745,0.875,0.5517241379310345,0.3082440948837361,0.17732230766755688,0.17732230766755688,0.5333333333333333,0.7747357898857778,0.41319242127241484
289,0.4730575978755951,0.3617987036705017,0.96875,0.8533333333333334,0.811330143525142,0.725486588910556,0.725486588910556,0.8607594936708861,0.807278658090686,0.6948727689894513
290,0.26552847027778625,0.22091583907604218,0.8421052631578947,0.7037037037037037,0.7091798902390336,0.559276935422562,0.559276935422562,0.6666666666666666,0.7949641997734317,0.5299761331822878
291,0.3076461851596832,0.16218765079975128,0.8947368421052632,0.7755102040816326,0.790628616328072,0.682055284018565,0.682055284018565,0.8846153846153846,0.7816128656797203,0.6914267657935987
292,0.4731171131134033,0.3301115930080414,0.9354838709677419,0.8732394366197183,0.784940246189506,0.7118104667609618,0.7118104667609618,0.9066666666666666,0.8020358375310868,0.7271791593615187
293,0.28644704818725586,0.23196163773536682,0.7619047619047619,0.7777777777777778,0.7241965239167832,0.5793251974156497,0.5793251974156497,0.7017543859649122,0.8096804178395631,0.5681967844488162
