,map_50,map_75,acc,f1,dice,aji,aji_plus,dq,sq,pq
120,0.03703703731298447,0.0,0.05263157894736842,0.6440677966101694,0.5870501773824326,0.43065013963059134,0.45145531214645684,0.7301587301587301,0.7285577688449134,0.5319628153470796
121,0.029702970758080482,0.007425742689520121,0.041666666666666664,0.5714285714285714,0.5331406660194071,0.4341178750619092,0.4825743263398628,0.6046511627906976,0.7729515425567,0.46736604898777206
122,0.013201320543885231,0.0033003301359713078,0.06666666666666667,0.7407407407407407,0.5444482316381093,0.4655107661492238,0.5034383848784614,0.6506024096385542,0.7336762394696161,0.47733152929348516
123,0.021039603278040886,0.0,0.0,0.6956521739130435,0.711247234862813,0.443200762086211,0.443200762086211,0.72,0.6861947400678288,0.4940602128488367
124,0.0,0.0,0.0,0.8095238095238095,0.8493433395075662,0.5215856638609829,0.5215856638609829,0.851063829787234,0.7430487427616784,0.6323819087333433
125,0.0,0.0,0.0,0.6111111111111112,0.6899093534525441,0.4318766066838046,0.4318766066838046,0.717948717948718,0.705915015734437,0.5068107805272881
126,0.0,0.0,0.0,0.9230769230769231,0.8145793598612885,0.5287482806052269,0.5287482806052269,0.7407407407407407,0.7382168116513601,0.5468272678898963
127,0.0,0.0,0.0,0.75,0.7216355265743791,0.5160778985507246,0.5160778985507246,0.6666666666666666,0.7274472279239153,0.4849648186159435
128,0.029947437345981598,0.016746120527386665,0.1,0.6666666666666666,0.5128383738655131,0.5124155429483708,0.5368878428532633,0.8181818181818182,0.7747588966446127,0.6338936427092287
129,0.01650165021419525,0.01650165021419525,0.05,0.8,0.5603057178943004,0.6225336979878883,0.6813530108801034,0.7924528301886793,0.7959712490882095,0.6307696690887699
130,0.004400440026074648,0.004400440026074648,0.047619047619047616,0.6461538461538462,0.5347502270565895,0.38096170796200174,0.4438472645596021,0.6176470588235294,0.7363871684676894,0.45482736875945523
131,0.011221121996641159,0.005720573011785746,0.10526315789473684,0.6666666666666666,0.6132828530120957,0.5544518027961737,0.5788155994222436,0.7868852459016393,0.7194183080174876,0.5660996522104821
132,0.0066006602719426155,0.0066006602719426155,0.0,0.6229508196721312,0.5742867620011106,0.499176217765043,0.5200889491934269,0.65625,0.7528387659798296,0.49405044017426314
133,0.012376237660646439,0.007425742689520121,0.125,0.8,0.5322498004059406,0.496911068920833,0.5400866377874042,0.7228915662650602,0.7342834311890715,0.5308072996547505
134,0.045284342020750046,0.03919142112135887,0.1875,0.64,0.7810315127915347,0.5352499542208387,0.5352499542208387,0.7368421052631579,0.7976495662786941,0.5877417856790377
