,map_50,map_75,acc,f1,dice,aji,aji_plus,dq,sq,pq
835,0.4884488582611084,0.42863669991493225,0.5625,0.6666666666666666,0.8064994123546829,0.5751910258494554,0.5978044774829285,0.7058823529411765,0.7912417565346668,0.5585235928480001
836,0.8845949769020081,0.8032016754150391,1.0,0.6956521739130435,0.7531365313421544,0.5019346101760496,0.5019346101760496,0.6808510638297872,0.8699935981161016,0.5923360668024521
837,0.9115512371063232,0.7706270813941956,1.0,0.896551724137931,0.7651914295413949,0.7188688605920291,0.7712799354202171,0.8387096774193549,0.8513249854735119,0.7140145039455261
838,0.4350247383117676,0.40693068504333496,1.0,0.7428571428571429,0.6770339772130954,0.713127448300993,0.7464142283419392,0.8648648648648649,0.8163407701105266,0.7060244498253204
839,0.9345434308052063,0.7624587416648865,1.0,0.8947368421052632,0.886454461591078,0.7739051828043391,0.7985342191289676,0.9,0.8451374404456092,0.7606236964010483
840,0.23331619799137115,0.23331619799137115,0.9166666666666666,0.631578947368421,0.7471952679894607,0.5381335282651072,0.5876658639089578,0.6341463414634146,0.8452180155203776,0.535991912281215
841,0.6604630947113037,0.47789719700813293,0.9230769230769231,0.6190476190476191,0.7507200164382144,0.6121845160711884,0.6298032771037749,0.7555555555555555,0.8057282629055104,0.6087724653063856
842,0.4488025903701782,0.4004400372505188,0.7777777777777778,0.8372093023255814,0.8531810091124143,0.7559471365638767,0.7559471365638767,0.7272727272727273,0.8408807159793532,0.6115496116213478
843,0.5597360134124756,0.4937293827533722,0.8571428571428571,0.8,0.8936200975639392,0.8336037863421231,0.8387140996641305,0.8648648648648649,0.841675643247634,0.7279356914574132
844,0.6427749991416931,0.5148548483848572,1.0,0.8292682926829268,0.7351039324859128,0.6304596604997139,0.701581896078216,0.6976744186046512,0.8221625565186738,0.5736017836176793
845,0.21397137641906738,0.07095709443092346,0.5555555555555556,0.6428571428571429,0.6936486650802359,0.42531484138370795,0.5142037018707315,0.6,0.7986739659070768,0.4792043795442461
846,0.10000000149011612,0.10000000149011612,0.03333333333333333,0.8,0.6723184256421514,0.5632028370118053,0.6205848841625522,0.72,0.7688989153234832,0.5536072190329079
847,0.0,0.0,0.0,0.8888888888888888,0.8989122551270613,0.5484955752212389,0.5484955752212389,0.8,0.792782045638441,0.6342256365107528
848,0.3064506947994232,0.25038108229637146,0.6923076923076923,0.7222222222222222,0.8253499222074125,0.5921768936084414,0.5921768936084414,0.7894736842105263,0.7903257822081721,0.6239414070064516
849,0.20157399773597717,0.16270627081394196,0.9166666666666666,0.6486486486486487,0.8991502994219842,0.6050806149231346,0.6050806149231346,0.631578947368421,0.8107284231919445,0.512039004121228
850,0.47194719314575195,0.2974422574043274,0.9166666666666666,0.6666666666666666,0.6174089765899414,0.41149529093020254,0.4492123458550146,0.5789473684210527,0.8170650153987612,0.47303764049401964
851,0.29790329933166504,0.2409830391407013,1.0,0.6956521739130435,0.5505347231474067,0.5117691723614275,0.5659620167307258,0.6808510638297872,0.8127560846441033,0.5533658448640704
852,0.4354511797428131,0.19474396109580994,0.8695652173913043,0.7796610169491526,0.679783966095533,0.5862358371800251,0.624664767013074,0.8064516129032258,0.7767933213039637,0.6264462268580352
853,0.34207916259765625,0.27607259154319763,0.8846153846153846,0.8125,0.49407729682596974,0.6049720471036042,0.6687000135556459,0.7076923076923077,0.8040549021363819,0.5690234692042088
854,0.3482988178730011,0.31555870175361633,0.975,0.8163265306122449,0.47512527181171293,0.5719123062853754,0.6337207704778391,0.7959183673469388,0.8429938565154356,0.670954293961265
855,0.22772277891635895,0.2013201266527176,0.9444444444444444,0.7058823529411765,0.5787690839556592,0.5221615865832557,0.6400087522564412,0.6923076923076923,0.8371110034914099,0.5795383870325145
856,0.38164228200912476,0.2512747645378113,0.9615384615384616,0.8253968253968254,0.6261970960627963,0.6335443984643765,0.6406313029447358,0.8,0.8077490188157356,0.6461992150525885
857,0.3570956885814667,0.3316831588745117,0.9166666666666666,0.75,0.8227909649108079,0.6033112582781457,0.6033112582781457,0.7058823529411765,0.8537741492465525,0.6026641053505076
858,0.2106710821390152,0.18518519401550293,0.6875,0.8,0.8005514198621146,0.6738807356492662,0.6738807356492662,0.7804878048780488,0.813078973809377,0.6345982234609772
859,0.22359737753868103,0.1357405036687851,0.5833333333333334,0.5581395348837209,0.8558457637606364,0.4646388972130656,0.46777403551745256,0.6808510638297872,0.7797222227039934,0.5308747048197402
860,0.4106258749961853,0.3616061508655548,0.9130434782608695,0.7419354838709677,0.8751224915480754,0.6882085398139977,0.6882085398139977,0.78125,0.8316855411925125,0.6497543290566504
861,0.34797531366348267,0.31150949001312256,0.9565217391304348,0.6865671641791045,0.8136686503815063,0.5189099917423616,0.5189099917423616,0.7058823529411765,0.817851470376718,0.5773069202659187
862,0.6074037551879883,0.5290297865867615,0.84375,0.8,0.7045620247707384,0.552679616194711,0.552679616194711,0.8048780487804879,0.8022148500345585,0.6456851231985471
863,0.28954896330833435,0.2700364887714386,0.8,0.6818181818181818,0.785413322593027,0.5323929685284945,0.5739102199853884,0.7659574468085106,0.838118934740746,0.6419634393758905
864,0.5807976722717285,0.2175217717885971,0.8421052631578947,0.7169811320754716,0.9139204231834057,0.6504549733291497,0.6504549733291497,0.7636363636363637,0.8129785168408336,0.6208199583148184
865,0.4396790564060211,0.3622429668903351,0.88,0.847457627118644,0.8257914505085946,0.6802997190134249,0.6802997190134249,0.8666666666666667,0.7829365547103573,0.6785450140823097
866,0.3873337209224701,0.34593284130096436,1.0,0.7848101265822784,0.7382640560129607,0.6726765057838053,0.6883301311502799,0.759493670886076,0.8468852332909439,0.6432039746513498
867,0.602340579032898,0.5606881380081177,0.9487179487179487,0.8387096774193549,0.6779870623941212,0.6862738544834731,0.7018389390210555,0.851063829787234,0.8288081072797725,0.7053686019402319
868,0.6079331040382385,0.5619457364082336,0.9583333333333334,0.7272727272727273,0.8213760700769211,0.6360859057954493,0.651039962608086,0.7647058823529411,0.830373322958904,0.6349913646156324
869,0.41236597299575806,0.30120760202407837,0.9705882352941176,0.7727272727272727,0.7537931862613837,0.6349177128971687,0.6640978972234055,0.8571428571428571,0.7821854450051875,0.6704446671473036
870,0.31848183274269104,0.2689768970012665,0.7272727272727273,0.7333333333333333,0.629684366059871,0.502637460885114,0.5443431011061518,0.5806451612903226,0.8275344854304721,0.48050389476608063
