map_50,map_75,acc,f1,dice,aji,aji_plus,dq,sq,pq,img_names,dataset,model,file_name,dist,area,cnt
0.0647447109222412,0.0246538240462541,1.0,0.3423423423423423,0.0922499956858502,0.0492944244585777,0.1609204917015024,0.1981981981981982,0.734761232972703,0.1456283524810762,test_1_000,consep,dist,test_1_000,2.248045328813217,331.1875,80
0.1145614683628082,0.1111111119389534,0.3125,0.4961240310077519,0.1708300351592749,0.1062817108445161,0.1929598413485374,0.1860465116279069,0.7073702449982777,0.1316037665113074,test_1_000,consep,seg_unet,test_1_000,2.248045328813217,331.1875,80
0.1966496556997299,0.1169013977050781,0.7619047619047619,0.6176470588235294,0.4168555321403467,0.284026486461971,0.3286074354127284,0.4142857142857143,0.6890787857254941,0.285475496943419,test_1_000,consep,mask_rcnn,test_1_000,2.248045328813217,331.1875,80
0.2994357943534851,0.2065783143043518,0.75,0.735632183908046,0.3984253049007803,0.4694566813509545,0.5292290881904708,0.5747126436781609,0.7442408930877475,0.4277246511998548,test_1_000,consep,hovernet,test_1_000,2.248045328813217,331.1875,80
0.1009418740868568,0.0096041178330779,1.0,0.3302752293577982,0.0558706967104963,0.0304265514997337,0.1343369340381521,0.1834862385321101,0.7179075259890869,0.1317261515576306,test_1_001,consep,dist,test_1_001,2.639899461006692,331.5138888888889,72
0.171970784664154,0.0009429514757357,0.625,0.4444444444444444,0.0683453536292119,0.0390673523639164,0.1416864007663039,0.1666666666666666,0.6871030864457804,0.1145171810742967,test_1_001,consep,seg_unet,test_1_001,2.639899461006692,331.5138888888889,72
0.4959549605846405,0.3684644103050232,0.972972972972973,0.5826771653543307,0.4244158922641262,0.3095774728253117,0.3276187430033584,0.5151515151515151,0.6764235212915386,0.3484606018774592,test_1_001,consep,mask_rcnn,test_1_001,2.639899461006692,331.5138888888889,72
0.5682498216629028,0.4847883880138397,0.98,0.684931506849315,0.3649937554894769,0.4834089149430373,0.5344180640876639,0.5753424657534246,0.7774780877887467,0.4473161600976351,test_1_001,consep,hovernet,test_1_001,2.639899461006692,331.5138888888889,72
0.1205198019742965,0.0674617439508438,1.0,0.3738317757009345,0.0522713113523029,0.0279158178269134,0.1577006072163396,0.2592592592592592,0.7734285262249686,0.2005185067990659,test_1_002,consep,dist,test_1_002,3.590039158944112,290.17333333333335,75
0.1025641188025474,0.0671308934688568,0.3333333333333333,0.4695652173913043,0.0766928719496664,0.0429702621854654,0.1563085796683489,0.2413793103448276,0.6761770269209213,0.1632151444291879,test_1_002,consep,seg_unet,test_1_002,3.590039158944112,290.17333333333335,75
0.5161666870117188,0.2227213382720947,0.925,0.625,0.3371701632178918,0.2722383681451503,0.3290335931572049,0.4848484848484848,0.7093986984118155,0.343950884078456,test_1_002,consep,mask_rcnn,test_1_002,3.590039158944112,290.17333333333335,75
0.590776801109314,0.4406726062297821,0.8928571428571429,0.7368421052631579,0.3303091426180463,0.4938404950957497,0.5422527909307711,0.6052631578947368,0.7433891788570745,0.4499460819398082,test_1_002,consep,hovernet,test_1_002,3.590039158944112,290.17333333333335,75
0.0988298803567886,0.0376142896711826,1.0,0.5128205128205128,0.1427289250898979,0.0768845467410386,0.2652757582930375,0.2905982905982906,0.7242818307190475,0.2104750619183557,test_1_003,consep,dist,test_1_003,2.8269150414144404,246.16901408450704,71
0.0291401837021112,0.0030133444815874,0.2857142857142857,0.5072463768115942,0.1025439828193269,0.0551385343232545,0.1685199309541969,0.1304347826086956,0.697308530061979,0.0909532865298233,test_1_003,consep,seg_unet,test_1_003,2.8269150414144404,246.16901408450704,71
0.4264106452465057,0.2573685944080353,0.9047619047619048,0.6461538461538462,0.4103231633560864,0.2908591438749019,0.341330551692165,0.4927536231884058,0.734872276871281,0.362110977009037,test_1_003,consep,mask_rcnn,test_1_003,2.8269150414144404,246.16901408450704,71
0.4957213997840881,0.2338535338640213,0.9230769230769232,0.7428571428571429,0.3904255752893066,0.3835388099131966,0.4561255127500317,0.5531914893617021,0.7273212235305335,0.4023479108892313,test_1_003,consep,hovernet,test_1_003,2.8269150414144404,246.16901408450704,71
0.102308839559555,0.0375554822385311,1.0,0.4525547445255474,0.0546057278111837,0.0292630353893815,0.1550300985041955,0.2773722627737226,0.7197373812025376,0.1996351860269812,test_1_004,consep,dist,test_1_004,3.07662011712587,252.45833333333331,96
0.1427684426307678,0.0735645070672035,0.5833333333333334,0.5142857142857142,0.0448693012606961,0.0248765332484295,0.123823225057419,0.2571428571428571,0.7282593879216673,0.1872666997512858,test_1_004,consep,seg_unet,test_1_004,3.07662011712587,252.45833333333331,96
0.3926791548728943,0.1957000792026519,0.8666666666666667,0.5769230769230769,0.4300789383853502,0.3072570663568162,0.3526953232252356,0.5542168674698795,0.7260540677457558,0.4023914110398164,test_1_004,consep,mask_rcnn,test_1_004,3.07662011712587,252.45833333333331,96
0.5571466684341431,0.3275047242641449,0.9696969696969696,0.7857142857142857,0.3717416431608328,0.4476896775902338,0.5053959131545338,0.6035502958579881,0.7408143159848247,0.447118699588474,test_1_004,consep,hovernet,test_1_004,3.07662011712587,252.45833333333331,96
0.2641802430152893,0.0459045879542827,1.0,0.6595744680851063,0.4031102192847371,0.2606415076823098,0.4692934782608696,0.4893617021276595,0.7013245418437756,0.343201371540571,test_1_005,consep,dist,test_1_005,6.022285756828755,252.0,50
0.0949237793684005,0.0872230008244514,0.2666666666666666,0.6451612903225806,0.3219089951947038,0.1968455707832478,0.2592741126930018,0.1505376344086021,0.7190387538651901,0.1082423930549748,test_1_005,consep,seg_unet,test_1_005,6.022285756828755,252.0,50
0.5117284655570984,0.3532728552818298,0.967741935483871,0.6326530612244898,0.547299120378088,0.3868114643976713,0.4053845697681314,0.6037735849056604,0.6694211764169722,0.4041788234970398,test_1_005,consep,mask_rcnn,test_1_005,6.022285756828755,252.0,50
0.4743445813655853,0.287875235080719,0.9736842105263158,0.7238095238095238,0.5576743219225379,0.5008539709649872,0.5478481932086435,0.5794392523364486,0.7235148957731983,0.4192329302611055,test_1_005,consep,hovernet,test_1_005,6.022285756828755,252.0,50
0.3360164761543274,0.0840969532728195,1.0,0.7289719626168224,0.5566058235398575,0.3971130340304994,0.5001517634917744,0.5607476635514018,0.7384747833620082,0.4140980093618737,test_1_006,consep,dist,test_1_006,5.394322914026998,204.76666666666668,60
0.1816623359918594,0.1100810095667839,0.2424242424242424,0.616822429906542,0.3929365835765157,0.2687457627118644,0.2800809655896244,0.2222222222222222,0.6934709032649276,0.1541046451699839,test_1_006,consep,seg_unet,test_1_006,5.394322914026998,204.76666666666668,60
0.513403594493866,0.339462548494339,0.9393939393939394,0.6534653465346535,0.5691448322510525,0.3617444049362058,0.4045361591373861,0.5660377358490566,0.7143751621320658,0.4043632993200372,test_1_006,consep,mask_rcnn,test_1_006,5.394322914026998,204.76666666666668,60
0.4848952293395996,0.383965790271759,0.868421052631579,0.7378640776699029,0.5856037776698374,0.47094558901215,0.5403295176338252,0.6346153846153846,0.7787080935855039,0.4941801363138774,test_1_006,consep,hovernet,test_1_006,5.394322914026998,204.76666666666668,60
0.3560314774513244,0.078159861266613,1.0,0.6909090909090909,0.5866213502058822,0.4129186602870813,0.4848274118093311,0.5818181818181818,0.7121394972658293,0.4143357075001188,test_1_007,consep,dist,test_1_007,6.824701561248055,181.67241379310343,58
0.0500761643052101,0.0177075397223234,0.2058823529411764,0.6732673267326733,0.3407956435984877,0.1873288296512689,0.1878804648588821,0.1386138613861386,0.7198715438655975,0.0997841743972115,test_1_007,consep,seg_unet,test_1_007,6.824701561248055,181.67241379310343,58
0.4237489700317383,0.285387635231018,0.8666666666666667,0.6185567010309279,0.678732039010709,0.3584205933682373,0.3596938775510204,0.5825242718446602,0.7036629622750502,0.4099007547233302,test_1_007,consep,mask_rcnn,test_1_007,6.824701561248055,181.67241379310343,58
0.4046601057052612,0.3026154041290283,0.9473684210526316,0.7378640776699029,0.5260037378189726,0.3978181032620436,0.4486215538847117,0.5192307692307693,0.7494552831118477,0.3891402431542287,test_1_007,consep,hovernet,test_1_007,6.824701561248055,181.67241379310343,58
